stitch_id,drug_name,smiles
CID100003015,cyproterone,CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)C5CC5C34C)Cl)C)O
CID100003016,diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
CID100003019,diazoxide,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
CID100003032,diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
CID100003038,dichlorphenamide,C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N
CID100003040,dicloxacillin,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O
CID100003042,dicyclomine,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2
CID100003043,didanosine,C1CC(OC1CO)N2C=NC3=C2N=CNC3=O
CID100003053,diethylenetriaminepentaacetic,
CID100003056,diflorasone,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C)F
CID100003059,diflunisal,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O
CID100003060,epitopic,CCCC(=O)OC1(CCC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C(=O)COC(=O)C
CID100003062,digoxin,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
CID100003063,dihydrocodeine,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(CC4)O
CID100003066,dihydroergotamine,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C
